flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared,aircraft
2026-05-22,active,,Guangzhou Baiyun International,Asia/Shanghai,CAN,ZGGG,3,H,,2026-05-22T03:10:00+00:00,2026-05-22T03:10:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,1,,,2026-05-22T07:15:00+00:00,31.0,,,,,Batik Air,ID,BTK,613,ID613,BTK613,,,,,,,,,,75056B,,
2026-05-22,active,,Hong Kong International,Asia/Hong_Kong,HKG,VHHH,,,,2026-05-22T03:40:00+00:00,2026-05-22T03:40:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-05-22T05:45:00+00:00,,,,,,DHL Air,D0,DHK,831,D0831,DHK831,,,,,,,,,,789282,,
2026-05-22,scheduled,,Singapore Changi,Asia/Singapore,SIN,WSSS,,,,2026-05-22T03:40:00+00:00,2026-05-22T03:40:00+00:00,,,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,,,2026-05-22T05:10:00+00:00,,,,,,K-Mile Air,8K,KMI,801,8K801,KMI801,,,,,,,,,,882DA1,,
2026-05-22,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,S124,,2026-05-22T07:25:00+00:00,2026-05-22T07:25:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-05-22T11:45:00+00:00,,,,,,Austrian Airlines,OS,AUA,8637,OS8637,AUA8637,thai airways,tg,tha,620,tg620,tha620,,,,,,
2026-05-22,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,S124,,2026-05-22T07:25:00+00:00,2026-05-22T07:25:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-05-22T11:45:00+00:00,,,,,,Lufthansa,LH,DLH,9750,LH9750,DLH9750,thai airways,tg,tha,620,tg620,tha620,,,,,,
2026-05-22,scheduled,,Suvarnabhumi International,Asia/Bangkok,BKK,VTBS,,S124,,2026-05-22T07:25:00+00:00,2026-05-22T07:25:00+00:00,,,,Ninoy Aquino International,Asia/Manila,MNL,RPLL,3,,,2026-05-22T11:45:00+00:00,,,,,,Air Canada,AC,ACA,7422,AC7422,ACA7422,thai airways,tg,tha,620,tg620,tha620,,,,,,
2026-05-22,scheduled,,Chengdu Tianfu International Airport,Asia/Chongqing,TFU,ZUTF,2,,,2026-05-22T07:45:00+00:00,2026-05-22T07:45:00+00:00,,,,Xiamen,Asia/Shanghai,XMN,ZSAM,4,68,,2026-05-22T10:35:00+00:00,,,,,,Shenzhen Airlines,ZH,CSZ,4887,ZH4887,CSZ4887,air china,ca,cca,2787,ca2787,cca2787,,,,781DC0,,
2026-05-22,active,,Beijing Daxing International Airport,+8,PKX,ZBAD,,,,2026-05-22T03:30:00+00:00,2026-05-22T03:30:00+00:00,,,,Krasnojarsk,Asia/Krasnoyarsk,KJA,UNKL,1,,,2026-05-22T06:30:00+00:00,19.0,,,,,Rossiya,FV,SDM,6622,FV6622,SDM6622,,,,,,,,,,151DF3,,
2026-05-22,scheduled,,Copernicus Airport,Europe/Warsaw,WRO,EPWR,,,,2026-05-22T02:45:00+00:00,2026-05-22T02:45:00+00:00,,,,Zakinthos International Airport,Europe/Athens,ZTH,LGZA,,,,2026-05-22T06:02:00+00:00,11.0,,,,,empty,,,,,,,,,,,,,,,48C1BB,,
2026-05-22,scheduled,,Copernicus Airport,Europe/Warsaw,WRO,EPWR,,,,2026-05-22T01:50:00+00:00,2026-05-22T01:50:00+00:00,,,,Antalya,Europe/Istanbul,AYT,LTAI,,,,2026-05-22T06:00:00+00:00,,,,,,Pegasus,PC,PGT,6266,PC6266,PGT6266,,,,,,,,,,4BB848,,
